# ΔRGB = imagem repetida, NÃO assunto repetido. PISO, não teto (ver cabeçalho de tools/medir_artes.js e docs/artes-skills-medicao.md).
deus,par,dRGB,corrEstrutural
baldur,habilidade×milagre,14.1,0.927
khonshu,habilidade×milagre,14.1,0.861
baldur,milagre×passiva,14.2,0.957
bastet,basico×habilidade,14.2,0.95
nefertem,basico×milagre,14.4,0.943
cerberus,habilidade×passiva,14.5,0.958
khnum,habilidade×passiva,14.5,0.909
tanuki,milagre×passiva,14.6,0.917
anubis,habilidade×milagre,14.7,0.934
khonshu,basico×habilidade,14.7,0.723
ogum,milagre×passiva,14.7,0.901
afrodite,basico×habilidade,14.8,0.822
osiris,basico×passiva,14.8,0.946
sobek,basico×passiva,14.8,0.949
bennu,habilidade×passiva,14.9,0.901
krishna,milagre×passiva,14.9,0.916
tanuki,habilidade×passiva,14.9,0.884
osiris,habilidade×passiva,15,0.963
ra,habilidade×milagre,15,0.963
tanuki,basico×milagre,15.2,0.924
brahma,basico×milagre,15.3,0.883
dionisio,habilidade×passiva,15.3,0.747
bennu,habilidade×milagre,15.4,0.882
bragi,basico×milagre,15.4,0.877
bragi,habilidade×milagre,15.5,0.888
anubis,basico×habilidade,15.6,0.949
krishna,basico×passiva,15.6,0.901
exu,basico×milagre,15.7,0.718
iansa,milagre×passiva,15.7,0.856
tanuki,basico×habilidade,15.7,0.903
osiris,basico×habilidade,15.8,0.951
durga,basico×habilidade,16,0.809
krishna,habilidade×milagre,16,0.897
ammit,basico×passiva,16.1,0.762
cuca,basico×passiva,16.1,0.685
hermes,habilidade×milagre,16.1,0.851
ogum,habilidade×milagre,16.1,0.817
osiris,milagre×passiva,16.1,0.948
tyr,milagre×passiva,16.1,0.934
ahpuch,habilidade×passiva,16.2,0.751
baldur,habilidade×passiva,16.2,0.941
durga,habilidade×milagre,16.2,0.785
nefertem,basico×passiva,16.2,0.939
dionisio,basico×habilidade,16.4,0.811
horus,basico×habilidade,16.4,0.935
tanuki,basico×passiva,16.4,0.919
exu,basico×habilidade,16.5,0.637
houyi,habilidade×passiva,16.5,0.895
amaterasu,habilidade×milagre,16.6,0.902
anubis,basico×passiva,16.7,0.955
dionisio,basico×passiva,16.8,0.822
fujin,basico×habilidade,16.8,0.982
khnum,basico×passiva,16.8,0.894
yanwong,basico×habilidade,16.8,0.679
boitata,basico×habilidade,16.9,0.855
hera,basico×passiva,16.9,0.954
vishnu,habilidade×milagre,16.9,0.949
inari,habilidade×passiva,17,0.832
orfeu,basico×habilidade,17,0.903
oxala,habilidade×passiva,17,0.466
vishnu,basico×milagre,17,0.912
bennu,milagre×passiva,17.2,0.813
ogum,basico×milagre,17.2,0.811
dionisio,habilidade×milagre,17.3,0.846
sobek,milagre×passiva,17.3,0.935
sunwukong,habilidade×milagre,17.3,0.934
houyi,basico×habilidade,17.4,0.754
inari,habilidade×milagre,17.4,0.694
cerberus,basico×habilidade,17.6,0.938
exu,basico×passiva,17.6,0.507
isis,milagre×passiva,17.6,0.891
oxala,basico×passiva,17.7,0.613
ahpuch,basico×passiva,17.8,0.674
brahma,basico×passiva,17.8,0.847
khnum,habilidade×milagre,17.8,0.889
krishna,basico×habilidade,17.8,0.81
amaterasu,milagre×passiva,17.9,0.875
khonshu,basico×milagre,17.9,0.713
mnevis,milagre×passiva,17.9,0.827
shutendoji,basico×passiva,17.9,0.686
curupira,habilidade×passiva,18,0.717
horus,habilidade×milagre,18.1,0.913
isis,habilidade×milagre,18.1,0.908
yanwong,basico×milagre,18.1,0.813
amaterasu,basico×milagre,18.2,0.902
houyi,habilidade×milagre,18.2,0.866
ahpuch,habilidade×milagre,18.3,0.757
exu,habilidade×milagre,18.3,0.56
osiris,basico×milagre,18.3,0.936
oxala,habilidade×milagre,18.3,0.406
kali,basico×passiva,18.4,0.66
khonshu,habilidade×passiva,18.4,0.842
cuca,milagre×passiva,18.5,0.225
huangdi,milagre×passiva,18.5,0.847
mnevis,basico×milagre,18.6,0.727
curupira,basico×habilidade,18.7,0.689
bastet,habilidade×passiva,18.9,0.944
aokuang,habilidade×milagre,19,0.866
nezha,basico×habilidade,19.1,0.567
babi,milagre×passiva,19.2,0.969
kali,basico×habilidade,19.2,0.634
bennu,basico×milagre,19.3,0.826
krishna,basico×milagre,19.4,0.835
nezha,basico×milagre,19.4,0.588
bastet,basico×passiva,19.5,0.942
bennu,basico×habilidade,19.6,0.806
horus,basico×milagre,19.6,0.9
yanwong,habilidade×milagre,19.6,0.709
kukulkan,basico×habilidade,19.7,0.802
morrigan,habilidade×milagre,19.8,0.22
ahpuch,basico×milagre,19.9,0.671
demeter,habilidade×passiva,19.9,0.928
dionisio,milagre×passiva,19.9,0.748
durga,basico×milagre,19.9,0.748
horus,milagre×passiva,19.9,0.875
curupira,basico×milagre,20,0.711
tyr,basico×passiva,20,0.855
vishnu,milagre×passiva,20,0.859
houyi,basico×passiva,20.1,0.769
khnum,basico×milagre,20.1,0.887
nuwa,basico×milagre,20.1,0.818
mnevis,basico×passiva,20.2,0.672
oxala,basico×habilidade,20.3,0.329
amaterasu,habilidade×passiva,20.4,0.874
dagda,habilidade×passiva,20.4,0.747
horus,basico×passiva,20.4,0.882
nuwa,basico×habilidade,20.4,0.844
xango,basico×passiva,20.4,0.645
morrigan,habilidade×passiva,20.5,0.252
dagda,basico×habilidade,20.6,0.572
bastet,basico×milagre,20.7,0.953
exu,milagre×passiva,20.7,0.497
guanyu,basico×habilidade,20.7,0.808
guanyu,basico×passiva,20.8,0.708
jormungandr,milagre×passiva,20.8,0.768
cerberus,basico×milagre,20.9,0.911
kagutsuchi,habilidade×milagre,20.9,0.86
babi,habilidade×milagre,21,0.962
aquiles,basico×milagre,21.1,0.781
brigid,habilidade×passiva,21.2,0.784
iara,habilidade×passiva,21.3,0.805
tyr,basico×habilidade,21.3,0.825
baldur,basico×habilidade,21.4,0.795
exu,habilidade×passiva,21.4,0.264
hercules,habilidade×passiva,21.4,0.794
izanagi,basico×milagre,21.4,0.908
kali,habilidade×passiva,21.4,0.407
aokuang,basico×habilidade,21.5,0.836
oni,milagre×passiva,21.5,0.789
vishnu,basico×habilidade,21.5,0.842
aquiles,basico×passiva,21.6,0.642
kali,basico×milagre,21.6,0.718
xango,habilidade×milagre,21.6,0.723
boto,milagre×passiva,21.7,0.877
hercules,basico×milagre,21.7,0.744
yamatotakeru,basico×habilidade,21.8,0.624
morrigan,basico×passiva,21.9,0.245
raijin,basico×milagre,22,0.927
tyr,basico×milagre,22,0.824
horus,habilidade×passiva,22.1,0.884
ahpuch,milagre×passiva,22.2,0.619
nezha,milagre×passiva,22.2,0.843
xango,habilidade×passiva,22.3,0.688
bennu,basico×passiva,22.4,0.739
itzamna,milagre×passiva,22.5,0.319
amaterasu,basico×habilidade,22.6,0.861
aquiles,habilidade×milagre,22.6,0.647
bastet,habilidade×milagre,22.6,0.935
chaac,basico×habilidade,22.6,0.706
guanyu,basico×milagre,22.6,0.816
oni,habilidade×milagre,22.6,0.798
perseu,habilidade×milagre,22.6,0.823
piranha,basico×habilidade,22.6,0.816
susanoo,basico×habilidade,22.6,0.782
cuca,basico×milagre,22.7,0.127
demeter,habilidade×milagre,22.7,0.915
kagutsuchi,basico×habilidade,22.7,0.841
brahma,habilidade×passiva,22.8,0.899
cernunnos,habilidade×milagre,22.8,0.79
thor,habilidade×milagre,22.8,0.917
boto,basico×milagre,22.9,0.839
dagda,basico×passiva,22.9,0.671
guanyu,milagre×passiva,22.9,0.818
isis,habilidade×passiva,22.9,0.856
medusa,basico×passiva,22.9,0.967
kali,habilidade×milagre,23,0.812
baldur,basico×milagre,23.1,0.742
kali,milagre×passiva,23.1,0.704
piranha,basico×passiva,23.1,0.808
aokuang,basico×milagre,23.2,0.818
oxala,milagre×passiva,23.2,0.207
piranha,habilidade×passiva,23.3,0.806
yanwong,basico×passiva,23.3,0.398
boto,basico×passiva,23.4,0.86
iansa,basico×habilidade,23.4,0.773
curupira,basico×passiva,23.5,0.486
guanyu,habilidade×passiva,23.5,0.758
kraken,habilidade×passiva,23.5,0.956
brahma,habilidade×milagre,23.6,0.895
durga,milagre×passiva,23.6,0.809
hercules,habilidade×milagre,23.6,0.741
morrigan,basico×milagre,23.6,0.051
izanagi,basico×habilidade,23.7,0.904
vishnu,habilidade×passiva,23.7,0.842
durga,habilidade×passiva,23.8,0.841
hercules,basico×passiva,23.8,0.769
medusa,habilidade×passiva,23.8,0.959
hercules,milagre×passiva,23.9,0.753
nezha,habilidade×passiva,24,0.75
shutendoji,basico×milagre,24,0.675
yamatotakeru,habilidade×passiva,24,0.54
aquiles,milagre×passiva,24.1,0.652
houyi,basico×milagre,24.1,0.723
kraken,basico×habilidade,24.2,0.934
medusa,basico×habilidade,24.2,0.957
cuca,habilidade×milagre,24.4,0.36
khonshu,milagre×passiva,24.4,0.76
aquiles,habilidade×passiva,24.5,0.673
huangdi,basico×passiva,24.5,0.715
sunwukong,milagre×passiva,24.5,0.912
cerberus,milagre×passiva,24.6,0.889
hercules,basico×habilidade,24.6,0.7
nuwa,milagre×passiva,24.6,0.847
isis,basico×habilidade,24.7,0.879
shutendoji,milagre×passiva,24.7,0.685
heimdall,habilidade×passiva,24.8,0.842
khonshu,basico×passiva,24.8,0.577
mulasemcabeca,basico×habilidade,24.8,0.173
nuwa,basico×passiva,24.8,0.858
piranha,milagre×passiva,24.8,0.478
tsukuyomi,milagre×passiva,24.8,0.8
cuca,basico×habilidade,24.9,0.675
mulasemcabeca,basico×milagre,24.9,0.632
xango,milagre×passiva,25.1,0.724
cuca,habilidade×passiva,25.2,0.6
hera,milagre×passiva,25.2,0.936
mulasemcabeca,milagre×passiva,25.2,0.464
sunwukong,basico×passiva,25.2,0.822
huangdi,basico×milagre,25.3,0.713
isis,basico×passiva,25.3,0.87
perseu,basico×habilidade,25.3,0.69
kukulkan,habilidade×milagre,25.4,0.743
nuwa,habilidade×milagre,25.4,0.768
oni,habilidade×passiva,25.4,0.619
vishnu,basico×passiva,25.4,0.787
curupira,milagre×passiva,25.5,0.456
heimdall,habilidade×milagre,25.6,0.838
inari,milagre×passiva,25.6,0.564
dagda,milagre×passiva,25.7,0.77
kraken,milagre×passiva,25.7,0.961
raijin,habilidade×milagre,25.8,0.778
aquiles,basico×habilidade,25.9,0.608
kagutsuchi,habilidade×passiva,25.9,0.809
mulasemcabeca,basico×passiva,25.9,0.317
cernunnos,basico×passiva,26,0.51
hades,milagre×passiva,26,0.962
iara,habilidade×milagre,26,0.53
yamatotakeru,basico×passiva,26.1,0.396
kagutsuchi,basico×milagre,26.2,0.872
raijin,milagre×passiva,26.2,0.797
durga,basico×passiva,26.3,0.757
nezha,basico×passiva,26.3,0.712
yanwong,milagre×passiva,26.3,0.517
izanami,basico×passiva,26.6,0.386
kitsune,habilidade×milagre,26.6,0.889
boitata,basico×passiva,26.7,0.626
iara,basico×habilidade,26.8,0.793
heimdall,basico×milagre,26.9,0.892
shiva,basico×habilidade,26.9,0.582
aokuang,basico×passiva,27,0.78
demeter,milagre×passiva,27.1,0.9
saci,basico×milagre,27.2,0.744
isis,basico×milagre,27.3,0.832
kitsune,basico×passiva,27.4,0.808
apolo,habilidade×passiva,27.5,0.954
yanwong,habilidade×passiva,27.5,0.308
mulasemcabeca,habilidade×passiva,27.6,0.339
guanyu,habilidade×milagre,27.7,0.697
cernunnos,basico×milagre,27.8,0.697
cernunnos,habilidade×passiva,27.9,0.491
sunwukong,habilidade×passiva,27.9,0.859
lugh,habilidade×milagre,28,0.699
piranha,habilidade×milagre,28.1,0.614
oxala,basico×milagre,28.3,-0.013
hel,basico×passiva,28.4,0.932
cernunnos,milagre×passiva,28.6,0.527
heimdall,milagre×passiva,28.6,0.861
izanagi,habilidade×milagre,28.6,0.83
ra,basico×habilidade,28.6,0.82
chaac,habilidade×passiva,28.7,0.684
ganesha,milagre×passiva,28.7,0.646
saci,basico×passiva,28.7,0.708
brigid,milagre×passiva,28.8,0.722
fujin,milagre×passiva,28.8,0.464
hanuman,basico×habilidade,28.9,0.73
piranha,basico×milagre,28.9,0.722
shiva,habilidade×milagre,29.1,0.639
odin,basico×passiva,29.2,0.933
ra,habilidade×passiva,29.2,0.91
dagda,habilidade×milagre,29.4,0.656
jormungandr,basico×passiva,29.4,0.763
susanoo,basico×milagre,29.4,0.782
raijin,basico×passiva,29.5,0.849
afrodite,milagre×passiva,29.6,0.858
hel,habilidade×passiva,29.6,0.896
raijin,habilidade×passiva,29.6,0.696
baldur,basico×passiva,29.7,0.691
iara,basico×passiva,29.8,0.768
saci,basico×habilidade,29.8,0.69
iansa,habilidade×passiva,29.9,0.765
ra,basico×milagre,29.9,0.798
mulasemcabeca,habilidade×milagre,30,0.066
chaac,basico×passiva,30.2,0.707
xango,basico×habilidade,30.2,0.429
kitsune,habilidade×passiva,30.3,0.796
ares,habilidade×milagre,30.4,0.971
change,basico×milagre,30.4,0.446
freyja,basico×passiva,30.4,0.875
ra,milagre×passiva,30.4,0.886
boitata,milagre×passiva,30.6,0.526
cerberus,habilidade×milagre,30.6,0.821
erinias,milagre×passiva,30.6,0.907
sunwukong,basico×milagre,30.6,0.783
freyja,basico×milagre,30.8,0.874
brahma,basico×habilidade,31,0.774
huangdi,habilidade×passiva,31,0.864
kagutsuchi,milagre×passiva,31,0.89
nuwa,habilidade×passiva,31,0.773
xango,basico×milagre,31,0.523
hera,basico×milagre,31.3,0.914
odin,habilidade×milagre,31.3,0.891
afrodite,habilidade×milagre,31.5,0.81
poseidon,habilidade×milagre,31.6,0.834
dagda,basico×milagre,31.9,0.652
izanami,habilidade×milagre,31.9,0.802
brigid,habilidade×milagre,32,0.65
inari,basico×habilidade,32,0.833
orfeu,milagre×passiva,32.3,0.851
aokuang,habilidade×passiva,32.6,0.783
kitsune,milagre×passiva,32.8,0.838
sunwukong,basico×habilidade,32.9,0.772
boitata,basico×milagre,33,0.496
boitata,habilidade×milagre,33,0.67
freyja,basico×habilidade,33,0.885
heimdall,basico×habilidade,33.2,0.91
oxum,basico×passiva,33.2,0.63
inari,basico×milagre,33.6,0.875
hel,habilidade×milagre,33.8,0.869
hera,habilidade×milagre,33.8,0.854
apolo,basico×milagre,33.9,0.861
hanuman,milagre×passiva,33.9,0.588
kukulkan,basico×milagre,33.9,0.599
boitata,habilidade×passiva,34.1,0.602
kraken,basico×passiva,34.2,0.875
afrodite,basico×milagre,34.3,0.861
raijin,basico×habilidade,34.3,0.687
boto,basico×habilidade,34.4,0.684
hera,habilidade×passiva,34.4,0.832
aokuang,milagre×passiva,34.9,0.789
susanoo,milagre×passiva,35.4,0.576
susanoo,habilidade×milagre,35.6,0.771
iara,milagre×passiva,35.7,0.321
iara,basico×milagre,35.8,0.507
hel,milagre×passiva,35.9,0.818
odin,basico×milagre,36,0.86
mnevis,habilidade×milagre,36.1,0.771
perseu,basico×milagre,36.2,0.595
susanoo,basico×passiva,36.3,0.661
oxum,basico×milagre,36.4,0.605
boto,habilidade×passiva,36.5,0.662
hera,basico×habilidade,36.5,0.819
huangdi,basico×habilidade,36.5,0.656
kitsune,basico×habilidade,36.5,0.679
ganesha,basico×milagre,37,0.682
hel,basico×milagre,37.2,0.816
iansa,habilidade×milagre,37.4,0.663
boto,habilidade×milagre,37.5,0.646
hel,basico×habilidade,37.6,0.805
jormungandr,basico×milagre,37.6,0.86
brigid,basico×habilidade,37.7,0.691
ganesha,basico×passiva,38.2,0.663
oni,basico×habilidade,38.3,0.29
susanoo,habilidade×passiva,38.3,0.797
kraken,basico×milagre,38.4,0.824
brigid,basico×passiva,38.7,0.629
odin,milagre×passiva,38.8,0.865
mnevis,basico×habilidade,38.9,0.608
tsukuyomi,basico×passiva,38.9,0.427
mnevis,habilidade×passiva,39.2,0.753
atena,habilidade×milagre,39.3,0.727
iansa,basico×passiva,39.4,0.6
oxum,habilidade×passiva,39.8,0.469
zeus,milagre×passiva,40.1,0.542
kraken,habilidade×milagre,40.4,0.911
inari,basico×passiva,40.5,0.655
shiva,basico×milagre,40.5,0.354
ares,habilidade×passiva,40.6,0.812
oxum,habilidade×milagre,41.1,0.415
chaac,basico×milagre,41.2,0.263
tsukuyomi,basico×milagre,41.2,0.333
hermes,basico×habilidade,41.4,0.153
ares,milagre×passiva,41.5,0.812
zeus,basico×milagre,41.5,0.414
erinias,basico×habilidade,41.7,-0.024
oni,basico×passiva,41.9,-0.049
huangdi,habilidade×milagre,42.6,0.745
oni,basico×milagre,42.6,0.125
poseidon,basico×milagre,42.6,0.694
ra,basico×passiva,43,0.718
ganesha,habilidade×milagre,43.3,0.438
ganesha,habilidade×passiva,43.4,0.457
hermes,basico×milagre,43.6,0.059
hermes,habilidade×passiva,43.9,0.658
kukulkan,habilidade×passiva,44.1,0.195
zeus,habilidade×milagre,44.3,0.422
change,basico×passiva,44.8,0.571
zeus,basico×passiva,44.8,0.433
hermes,milagre×passiva,45.1,0.785
chaac,habilidade×milagre,45.4,0.2
ganesha,basico×habilidade,45.9,0.417
iansa,basico×milagre,46.4,0.51
kitsune,basico×milagre,46.5,0.683
kukulkan,milagre×passiva,47,0.401
brigid,basico×milagre,47.3,0.59
chaac,milagre×passiva,47.3,0.185
change,milagre×passiva,47.3,0.536
lugh,basico×milagre,47.5,0.381
kukulkan,basico×passiva,47.7,0.147
orfeu,habilidade×passiva,48.3,-0.124
odin,basico×habilidade,48.4,0.758
heimdall,basico×passiva,48.6,0.846
zeus,habilidade×passiva,50.1,0.39
zeus,basico×habilidade,50.2,0.362
oxum,basico×habilidade,50.3,0.302
poseidon,basico×habilidade,51.3,0.565
orfeu,basico×passiva,51.6,-0.073
izanagi,basico×passiva,52.1,0.418
fenrir,habilidade×passiva,53.1,0.733
izanagi,milagre×passiva,53.2,0.413
fenrir,basico×passiva,53.3,0.736
thor,basico×passiva,55.5,0.094
odin,habilidade×passiva,56.1,0.718
izanagi,habilidade×passiva,57.9,0.283
lugh,basico×habilidade,58.2,0.103
hanuman,habilidade×passiva,60.4,0.598
lugh,basico×passiva,64.6,0.238
orfeu,habilidade×milagre,65.2,-0.236
jormungandr,habilidade×passiva,66.5,-0.442
shiva,basico×passiva,68.4,0.094
shiva,habilidade×passiva,69.5,-0.06
babi,basico×habilidade,70.4,-0.35
hermes,basico×passiva,71,-0.203
erinias,basico×passiva,71.2,0.455
atena,basico×milagre,71.6,0.309
babi,basico×passiva,71.6,-0.327
orfeu,basico×milagre,72.2,-0.206
erinias,basico×milagre,72.6,0.547
thor,habilidade×passiva,73.2,0.189
hanuman,basico×passiva,73.8,0.112
jormungandr,basico×habilidade,74.2,-0.353
fenrir,basico×milagre,74.6,-0.575
fenrir,habilidade×milagre,74.8,-0.605
jormungandr,habilidade×milagre,75.8,-0.502
thor,milagre×passiva,75.8,0.16
shiva,milagre×passiva,76,-0.027
lugh,habilidade×passiva,77.8,0.835
hanuman,habilidade×milagre,78.4,-0.054
babi,basico×milagre,83.5,-0.281
medusa,basico×milagre,84.1,-0.51
lugh,milagre×passiva,86.2,0.76
izanami,basico×milagre,86.4,-0.504
izanami,milagre×passiva,87,-0.585
apolo,habilidade×milagre,87.1,0.084
medusa,milagre×passiva,87.4,-0.517
hanuman,basico×milagre,88.5,-0.452
atena,basico×habilidade,90.4,-0.229
ammit,basico×habilidade,91.7,-0.315
fujin,habilidade×passiva,91.7,-0.18
fujin,basico×passiva,92.3,-0.236
erinias,habilidade×passiva,93.1,-0.256
poseidon,habilidade×passiva,93.1,-0.379
ammit,basico×milagre,93.3,-0.326
poseidon,milagre×passiva,93.9,-0.299
fujin,basico×milagre,95.1,-0.291
fujin,habilidade×milagre,95.2,-0.269
change,basico×habilidade,95.7,-0.237
medusa,habilidade×milagre,96.6,-0.518
erinias,habilidade×milagre,97.4,-0.09
change,habilidade×milagre,98,-0.225
ammit,habilidade×passiva,98.3,-0.317
ammit,milagre×passiva,98.5,-0.293
loki,basico×passiva,98.8,-0.353
loki,habilidade×passiva,99.9,-0.352
thor,basico×habilidade,100,-0.334
ares,basico×habilidade,100.3,-0.543
ares,basico×passiva,100.8,-0.43
tsukuyomi,basico×habilidade,102.3,-0.082
thor,basico×milagre,102.4,-0.365
atena,habilidade×passiva,103,-0.288
hades,habilidade×passiva,103,-0.68
yamatotakeru,habilidade×milagre,103.2,-0.395
poseidon,basico×passiva,104.1,-0.538
loki,basico×milagre,104.5,-0.591
hades,basico×passiva,104.6,-0.578
shutendoji,habilidade×milagre,104.7,-0.449
apolo,milagre×passiva,105.5,-0.022
perseu,basico×passiva,105.9,-0.418
loki,habilidade×milagre,106.1,-0.581
izanami,basico×habilidade,107.2,-0.601
shutendoji,basico×habilidade,107.7,-0.671
izanami,habilidade×passiva,108.9,-0.704
fenrir,milagre×passiva,109.7,-0.672
shutendoji,habilidade×passiva,109.7,-0.566
yamatotakeru,milagre×passiva,110.5,-0.35
perseu,habilidade×passiva,112.8,-0.378
hades,basico×milagre,113,-0.509
hades,habilidade×milagre,113.4,-0.645
apolo,basico×habilidade,113.6,-0.197
demeter,basico×milagre,113.6,-0.432
change,habilidade×passiva,114.7,-0.457
atena,milagre×passiva,115.1,-0.464
yamatotakeru,basico×milagre,115.1,-0.145
perseu,milagre×passiva,115.3,-0.408
demeter,basico×habilidade,116.1,-0.406
tsukuyomi,habilidade×passiva,116.8,-0.49
atena,basico×passiva,117.7,-0.458
tsukuyomi,habilidade×milagre,118.1,-0.253
ares,basico×milagre,124.7,-0.535
demeter,basico×passiva,126,-0.389
itzamna,basico×milagre,130.9,0.325
apolo,basico×passiva,132.2,-0.252
itzamna,habilidade×milagre,135.5,0.361
itzamna,basico×passiva,138.9,-0.475
itzamna,habilidade×passiva,142.9,-0.461
